dir,entry,sl,tp,lot,open_ts,exit,reason,pnl,year,month,date
LONG,952.53,947.59,962.41,0.2,2009-05-27 08:00:00+00:00,947.59,sl,-99.79999999999882,2009,5,2009-05-27
LONG,975.68,968.89,989.26,0.15,2009-05-29 12:00:00+00:00,989.26,tp,202.7000000000006,2009,6,2009-06-03
LONG,950.15,945.48,959.49,0.21,2009-07-21 08:00:00+00:00,945.48,sl,-99.06999999999914,2009,7,2009-07-21
LONG,951.63,947.03,960.82,0.22,2009-07-22 11:00:00+00:00,947.03,sl,-102.20000000000051,2009,7,2009-07-23
LONG,952.95,948.6,961.65,0.23,2009-07-24 08:00:00+00:00,948.6,sl,-101.05000000000052,2009,7,2009-07-28
LONG,967.33,961.13,979.73,0.16,2009-08-06 08:00:00+00:00,961.13,sl,-100.20000000000073,2009,8,2009-08-06
LONG,992.92,986.67,1005.41,0.16,2009-09-04 11:00:00+00:00,1005.41,tp,198.84000000000015,2009,9,2009-09-08
LONG,1004.13,997.17,1018.06,0.14,2009-09-11 12:00:00+00:00,997.17,sl,-98.44000000000051,2009,9,2009-09-14
LONG,1003.5,997.71,1015.07,0.17,2009-09-30 11:00:00+00:00,997.71,sl,-99.42999999999938,2009,10,2009-10-01
LONG,1002.48,995.34,1016.75,0.14,2009-10-02 11:00:00+00:00,1016.75,tp,198.77999999999975,2009,10,2009-10-05
LONG,1053.38,1047.43,1065.27,0.17,2009-10-12 08:00:00+00:00,1065.27,tp,201.12999999999784,2009,10,2009-10-13
LONG,1056.75,1050.13,1069.99,0.15,2009-10-19 11:00:00+00:00,1050.13,sl,-100.29999999999836,2009,10,2009-10-21
LONG,1078.53,1069.65,1096.29,0.11,2009-11-03 11:00:00+00:00,1096.29,tp,194.3599999999999,2009,11,2009-11-04
LONG,1178.73,1166.72,1202.76,0.08,2009-11-30 13:00:00+00:00,1202.76,tp,191.23999999999978,2009,12,2009-12-01
SHORT,1069.65,1078.22,1052.5,0.12,2010-02-10 11:00:00+00:00,1078.22,sl,-103.83999999999924,2010,2,2010-02-10
LONG,1116.93,1109.03,1132.74,0.13,2010-02-26 13:00:00+00:00,1132.74,tp,204.5299999999993,2010,3,2010-03-02
LONG,1136.88,1130.83,1148.97,0.17,2010-03-05 11:00:00+00:00,1130.83,sl,-103.8500000000031,2010,3,2010-03-08
LONG,1128.73,1123.83,1138.52,0.2,2010-04-05 11:00:00+00:00,1123.83,sl,-99.00000000000182,2010,4,2010-04-06
LONG,1153.38,1145.76,1168.61,0.13,2010-04-23 11:00:00+00:00,1168.61,tp,196.98999999999728,2010,4,2010-04-27
SHORT,1201.03,1208.14,1186.82,0.14,2010-07-06 08:00:00+00:00,1186.82,tp,197.94000000000054,2010,7,2010-07-07
SHORT,1199.35,1206.87,1184.31,0.13,2010-07-08 08:00:00+00:00,1206.87,sl,-98.75999999999976,2010,7,2010-07-09
SHORT,1185.78,1192.44,1172.45,0.15,2010-07-26 11:00:00+00:00,1172.45,tp,198.9499999999989,2010,7,2010-07-27
LONG,1239.33,1234.01,1249.96,0.19,2010-08-27 08:00:00+00:00,1234.01,sl,-102.07999999999879,2010,8,2010-08-27
LONG,1243.23,1238.19,1253.32,0.2,2010-08-31 08:00:00+00:00,1253.32,tp,200.7999999999984,2010,9,2010-09-01
LONG,1272.33,1267.03,1282.93,0.19,2010-09-16 12:00:00+00:00,1282.93,tp,200.4000000000026,2010,9,2010-09-20
LONG,1330.78,1324.36,1343.62,0.16,2010-10-05 08:00:00+00:00,1343.62,tp,204.4399999999987,2010,10,2010-10-05
LONG,1345.48,1334.87,1366.69,0.09,2010-10-08 11:00:00+00:00,1366.69,tp,189.89000000000033,2010,10,2010-10-13
LONG,1369.63,1362.26,1384.38,0.14,2010-10-13 12:00:00+00:00,1384.38,tp,205.50000000000003,2010,10,2010-10-14
LONG,1411.65,1405.69,1423.57,0.17,2010-12-29 11:00:00+00:00,1405.69,sl,-102.32000000000063,2010,12,2010-12-30
SHORT,1331.8,1340.76,1313.88,0.11,2011-02-01 11:00:00+00:00,1340.76,sl,-99.5600000000004,2011,2,2011-02-01
LONG,1431.68,1423.68,1447.68,0.12,2011-03-04 11:00:00+00:00,1423.68,sl,-97.0,2011,3,2011-03-08
LONG,1432.9,1426.03,1446.64,0.15,2011-03-21 08:00:00+00:00,1426.03,sl,-104.05000000000177,2011,3,2011-03-21
LONG,1434.03,1427.06,1447.98,0.14,2011-03-31 08:00:00+00:00,1427.06,sl,-98.58000000000038,2011,4,2011-04-01
LONG,1485.85,1478.12,1501.31,0.13,2011-04-15 12:00:00+00:00,1478.12,sl,-101.49000000000024,2011,4,2011-04-18
LONG,1514.53,1506.32,1530.95,0.12,2011-05-23 12:00:00+00:00,1530.95,tp,196.04000000000087,2011,5,2011-05-25
LONG,1537.13,1532.89,1545.61,0.24,2011-05-30 08:00:00+00:00,1532.89,sl,-102.7600000000002,2011,5,2011-05-31
LONG,1537.23,1531.06,1549.57,0.16,2011-06-01 08:00:00+00:00,1549.57,tp,196.43999999999872,2011,6,2011-06-01
LONG,1546.53,1539.19,1561.22,0.14,2011-06-09 11:00:00+00:00,1539.19,sl,-103.75999999999887,2011,6,2011-06-10
LONG,1539.38,1532.98,1552.19,0.16,2011-06-20 11:00:00+00:00,1552.19,tp,203.95999999999916,2011,6,2011-06-22
LONG,1555.68,1549.85,1567.34,0.17,2011-06-22 11:00:00+00:00,1549.85,sl,-100.11000000000264,2011,6,2011-06-22
SHORT,1506.7,1513.0,1494.09,0.16,2011-06-30 11:00:00+00:00,1494.09,tp,200.76000000000204,2011,7,2011-07-01
LONG,1553.38,1546.09,1567.95,0.14,2011-07-12 11:00:00+00:00,1567.95,tp,202.9799999999991,2011,7,2011-07-12
LONG,1629.73,1619.98,1649.23,0.1,2011-08-01 11:00:00+00:00,1619.98,sl,-98.50000000000001,2011,8,2011-08-01
LONG,1717.0,1701.81,1747.37,0.07,2011-08-08 12:00:00+00:00,1747.37,tp,211.58999999999926,2011,8,2011-08-08
LONG,1786.33,1758.47,1842.04,0.04,2011-08-10 11:00:00+00:00,1758.47,sl,-112.4399999999996,2011,8,2011-08-11
LONG,1825.05,1804.5,1866.15,0.05,2011-08-30 08:00:00+00:00,1866.15,tp,204.50000000000068,2011,9,2011-09-02
SHORT,1628.15,1656.28,1571.88,0.04,2011-09-28 12:00:00+00:00,1656.28,sl,-113.51999999999953,2011,10,2011-10-03
SHORT,1619.65,1642.36,1574.23,0.04,2011-10-04 11:00:00+00:00,1642.36,sl,-91.83999999999924,2011,10,2011-10-05
SHORT,1642.85,1657.55,1613.46,0.07,2011-10-19 11:00:00+00:00,1613.46,tp,204.72999999999914,2011,10,2011-10-20
LONG,1800.35,1787.49,1826.07,0.08,2011-11-08 12:00:00+00:00,1787.49,sl,-103.8799999999992,2011,11,2011-11-08
LONG,1781.28,1765.22,1813.4,0.06,2011-11-11 11:00:00+00:00,1765.22,sl,-97.35999999999967,2011,11,2011-11-15
LONG,1755.02,1745.01,1775.04,0.1,2012-02-02 12:00:00+00:00,1745.01,sl,-101.09999999999992,2012,2,2012-02-03
LONG,1771.82,1762.51,1790.43,0.11,2012-02-22 13:00:00+00:00,1762.51,sl,-103.4099999999994,2012,2,2012-02-27
SHORT,1639.11,1647.14,1623.05,0.12,2012-04-18 08:00:00+00:00,1647.14,sl,-97.3600000000024,2012,4,2012-04-18
SHORT,1559.57,1568.93,1540.86,0.11,2012-07-12 08:00:00+00:00,1568.93,sl,-103.9600000000014,2012,7,2012-07-12
LONG,1671.09,1664.62,1684.03,0.15,2012-08-28 11:00:00+00:00,1664.62,sl,-98.05000000000041,2012,8,2012-08-28
LONG,1763.15,1754.15,1781.15,0.11,2012-09-18 08:00:00+00:00,1781.15,tp,197.0,2012,9,2012-09-21
LONG,1779.29,1772.91,1792.04,0.16,2012-10-03 11:00:00+00:00,1792.04,tp,203.0,2012,10,2012-10-04
LONG,1790.23,1783.32,1804.04,0.14,2012-10-04 11:00:00+00:00,1783.32,sl,-97.74000000000116,2012,10,2012-10-05
SHORT,1702.62,1710.08,1687.69,0.13,2012-10-24 12:00:00+00:00,1710.08,sl,-97.98000000000047,2012,10,2012-10-25
SHORT,1706.46,1712.17,1695.04,0.18,2012-10-29 11:00:00+00:00,1712.17,sl,-103.78000000000065,2012,10,2012-10-30
LONG,1728.63,1721.23,1743.44,0.14,2012-11-13 11:00:00+00:00,1721.23,sl,-104.60000000000129,2012,11,2012-11-14
SHORT,1695.46,1701.24,1683.9,0.17,2012-12-14 12:00:00+00:00,1701.24,sl,-99.25999999999955,2012,12,2012-12-17
SHORT,1645.96,1652.25,1633.38,0.16,2013-02-13 11:00:00+00:00,1633.38,tp,200.27999999999884,2013,2,2013-02-14
SHORT,1597.32,1606.14,1579.68,0.11,2013-02-27 12:00:00+00:00,1579.68,tp,193.0399999999986,2013,2,2013-02-28
SHORT,1574.66,1581.92,1560.15,0.14,2013-03-05 11:00:00+00:00,1581.92,sl,-102.63999999999989,2013,3,2013-03-06
SHORT,1379.35,1412.17,1313.71,0.03,2013-04-15 11:00:00+00:00,1412.17,sl,-99.46000000000049,2013,4,2013-04-19
SHORT,1423.39,1434.92,1400.34,0.09,2013-05-14 08:00:00+00:00,1434.92,sl,-104.76999999999974,2013,5,2013-05-14
SHORT,1364.23,1377.62,1337.44,0.07,2013-05-17 11:00:00+00:00,1377.62,sl,-94.72999999999911,2013,5,2013-05-20
SHORT,1373.54,1388.62,1343.38,0.07,2013-05-21 08:00:00+00:00,1388.62,sl,-106.5599999999995,2013,5,2013-05-22
